user,location,tweet
KDWS__,"Atlanta, GA","@j0rdanr0binson hard disagree, most we would’ve had to worry about was his tweets. joe biden lacks the competency to know how to run an economy. example.) inflation + stock outs."
HairWeave,Philadelphia,"@FredHungry @gotcankles @Cosmic_Andrew1 @latimes to be fair, financing whores is a critical part of the economy.

like, I totally condone the financing of corporate, government &amp; mob whores. 👌🏾"
OneLadyOneVote,USA,WSJ: The Biden Stagflation Is Coming https://t.co/OeDLoLUdJk via @WSJOpinion #USA🇺🇸 #America #1A #2A #Biden #Trump #Trump2024 #freedom #Patriots #Democrats #Republicans #inflation #gasprices #Bidenflation #economy #politics
punchdownsuckup,United States,"@ManFellow2 @TheBaconBrotato @KirstinMorrell @BuilderClaireKY Canada will always get away with underfunding its defense because it knows the US has to defend Canada to defend itself. If Canada had been the country that neutered Europe and established a global economy, the roles would be reversed."
powanikutin,"Bronx, NY","OSHA opens investigation after Amazon warehouse collapses during tornado, killing 6 https://t.co/wPDXkoTnm2"
humeyra_pamuk,"Washington, DC","Blinken: We are developing a comprehensive Indo-Pacific economic framework to pursue our shared objectives, including around trade and the digital economy (Biden administration is YET to flesh out what this framework will entail and there wasn't much clue in today's speech)"
StoryLuck,Chicago il,"@businessbarista @samjshore One interesting place you can see the Curator Economy is in the growing popularity of street tours. 

Find cool land marks and the stories that combine and put on a one person show. Kind of a conflux."
blakejwc,"Boston, MA",@tbc0 @Venmo @PayPal eCommerce middleware-as-a-servuce does distract users like me with convenience. I feel like I've submitted my purchasing power to the surveillance economy; I'm becoming an open-source commodity—EANAL
jlsalinas7,"Palo Alto, CA","I am glad some respectable scientists are also tweeting about this, I was starting to feel lonely: 1)Omicron is a serious threat to America’s health and economy and 2) the U.S. response leaves a lot to be desired. https://t.co/rWjXAFmxyv"
woodpeker99,North Carolina,"@PatriotsRmaga I’m sure it will hurt the owners, and that’s a sad fact but the long game end result may hurt the economy enough for the idiots to change this disastrous tyrannical move!!"
crypt0__k1ng,"Massachusetts, USA","@ewarren Hey Elizabeth, isn’t your net worth north of $12M? That’s an awful lot for yelling at those who create real value for the economy. What value do you produce?"
StoryLuck,Chicago il,"@businessbarista Well... that's why the ship guys and @samjshore are building out typeshare.

For all the talk of creator economy, building the platform everyone flocks to is always where the real economy is.

Who makes more, the famous #writers or the CEO of Medium? 🤷‍♀️"
kenzawldboy,"Denver, CO","Laughable with inflation, mandates, freedom n economy in the toilet… what a joke you fuks are https://t.co/gu5sNDJ4jT"
SeekingAlpha,"New York, NY",$PL - Planet Labs PBC 2022 Q3 - Results - Earnings Call Presentation. https://t.co/1rqCAJYWdM #business #economy #markets
Ninpaxcyclist61,western Pennsylvania,@SenatorJohnKane No one had to be rescued when President Trump was in office.  The economy was booming and unemployment was LOW.  Biden has really screwed everything up.
StielHugh,"New Orleans, LA",@JanClementsNOLA @mojofearless @JeanneDeauxSays They get it but don’t want to admit it Tourism is the economy of New Orleans. Sometimes the business owner is right. Just in very rare situation like now😎 Thank you!
Tracy_Pierceall,United States,@refdeskfacepalm Yes!! People need to show some gratitude for the people who've kept the economy going the last two years and are still dealing with the general garbage people out shopping right now.
phemmy89,"Maryland City, MD","HOPE 2023, Jagaban of Borgu Kingdom is the clear choice for the job, interm of quality Leadership for the Elites and the Grassroots, Economy and prospects for all. We have the tracks records."
SanDiegoPete1,"San Diego, CA",Biden Will Pay a High Price for Bread and Circuses by @EconTodd https://t.co/WbuDn7Rluy via @WSJOpinion
CollegeAidPlanR,"Glen Ellyn, IL ","Biden Denies Student Loan Payment Extension, Payments Restart Feb 1
https://t.co/Gdmsjd3LRj"
BurghCrew,"Pittsburgh, PA","@zerohedge That is called ""blinking first"". None of these bankers get it, but the only thing that would fix their economies would be the higher cost of money. It would let economy rebalance.  The problem are budget deficits and their financing. We will soon see that play out in the US."
stopthestupiddd,"California, USA",@BFC_CBPC @rhonda_harbison @DanCrenshawTX @All435Reps Yeah by 0.05 in 2018. The economy grew at about the same pace from 2009 to 2019 and slowed in 2020 before the pandemic so the rate of growth was not affected that much from the tax cuts and the tax cuts never paid for themselves
jayleeson,The Rural Metropolis,"Warning new followers: I’m a Bullock disciple, a Laney acolyte, and, like Jesus, have no place to lay my political head. I’m a die-hard #TexasTech fan— socially con, fiscally moderate (ag, pub ed, healthcare 💵 makes our economy go round).

I call em like see em. #PrairiePopulism"
DiscordDerin,Sweden,"@AltCody1 Grinding kinda ruined the game for me, the economy is fucked. I have 115mil from 1 weeks work when Cayo Perico was 2x money and I have barely grinded since."
DaughteroftheA2,Oregon,"@Dizzy5k @AP Today’s LA Times:  
“Cases rose 50 percent in the last 2 1/2 weeks, so CA is ordering a statewide mask mandate for indoor public spaces until 1/15.” 
CA ranks as the world's fifth largest economy. Too bad about 2020 drama, but Public Health should come first."
julieakern,"Scottsdale, AZ","The number of Americans filing initial jobless claims unexpectedly fell to the lowest level in 52 years, faring much better than economists were expecting. Forbes has the details. #economy #employment https://t.co/Yn93Va9Wle"
katfish912,"Memphis,TN","The number of Americans filing initial jobless claims unexpectedly fell to the lowest level in 52 years, faring much better than economists were expecting. Forbes has the details. #economy #employment https://t.co/IbWYuBy8YS"
HinesWealthMgmt,"Charleston, SC","The number of Americans filing initial jobless claims unexpectedly fell to the lowest level in 52 years, faring much better than economists were expecting. Forbes has the details. #economy #employment https://t.co/CfCyyXq138"
KenBlevins8,"Troy, MI","Destruction of US, economy could be done by election time. They will not sit by and accept what’s coming. https://t.co/0CEBUjYwqy"
christina__hg,Canada,"@fairyvamp76 @pulte A cautionary tale my 🇺🇲 friend💜...many of us Canadians🇨🇦 are now receiving notices to pay back part or all of the 'help' we received from our beloved government for job loss, etc. due to the pandemic &amp; its impact on our economy including job losses."
mjschv,"Charlottesville, VA","@GOP What can a President, or even Congress do to protect against global inflation?  Presidents get too much credit and blame for the economy given they have no authority to set wages, prices, or interest rates.  And despite that the dow is at unprecedented highs."
JanClementsNOLA,"New Orleans, LA","@mojofearless @StielHugh @JeanneDeauxSays Believe it or not, there have been lawsuits against Bourbon St clubs for that very reason. I’ve been a musician in new orleans for decades &amp; have constantly had to fight these battles. City govt never gets it, that without music, food, etc. (tourism,) we’d have no economy."
DoctorSarcasm,"New York, NY","@seanepg @ninaturner Unemployment is down. Economy is growing. Orders for durable goods up. Record low interest rates. Stock market soaring. 

Yeah, what an awful economy."
PatWay1979,"Palm Beach, FL","@Cinfia488 Respectfully, he spent almost 4 years promising one. That alone doesn’t define a socialist state. Socialism in Canada is stronger than here but it’s in no way a socialist economy."
WSJopinion,New York,"Even with a firm dollar, the cost of bread and circuses continues to rise, writes @EconTodd. Biden and his party should be wary as the next election cycle approaches. Voters won’t be satisfied with a political clown show.
https://t.co/KREpSSON3K"
charles_grant,"Atlanta, GA",@ExcessDepth More people need to realize our economy/financial system are a house of burning cards built on the sand at high tide with a class five hurricane bearing down on it &amp; there is nothing we can do to stop the crash from coming
Thoracicus,Australia,@MaBovill @RageSheen @YouAreLobbyLud Empathy is NOT going to eliminate the virus. Neither will declaring the war over just because we’re tired of it. Shades of George W’s “Mission Accomplished” effort. @RageSheen is right - there are just people. Economy is no good if people are sick or dead!
KaRayne,"Edmonds, WA",@ChuckWendig Information wants to be.....damaging to the environment and economy? So not how I thought things would go.
SeekingAlpha,"New York, NY",$XLF - Financial ETF Sector XLF Pullback Sets Up A New Upside Target. https://t.co/yfas15qTAM #investing #stockmarket #economy
smithmorwi,"Wisconsin, USA",Consensus on our economy shows China and the U.S. are interconnected. We need each other to prosper. What a waste. I would've transferred equipment from South Korea and/or Japan. Probably a scam going to WorldBank. Check out @TWUS_Alliance https://t.co/zi3rS2kEq0
msilva12000,"Florida, USA","@DeItaone To the idiot saying that Brazil will be next to default together with El Salvador, Brazil’s economy reached pre pandemic GDP levels in Q1! You are welcome for the free economics data…"
NewsInTheBurg,"Fredericksburg, VA",THE BIDEN administration is pushing a $1.75 trillion “reconciliation” bill supposedly to revitalize our economy. But it won’t work. https://t.co/otV5o4cXVO
l_henderson02,"Long Beach, CA",@xmarquise32 @GhostUnit07 @Ant95four @DomSheldon_FCC @Forbes The priority right now is getting BBB passed and stabilizing the economy then we can move to voting rights. It takes time to move bills through Congress. Our govt. is slow- it was designed that way. Things don't move at the speed of Twitter.
sonofchinglu,"Texas, USA",@GOPChairwoman Threatening to cripple a country's economy with sanctions is not appeasement.
petemckenna38,New Orleans,@ClayMoore1966 @BillKoti @FoxNews For one thing it cuts hospital Medicaid funding to 12 states to cover the front loaded tax cuts for blue states. A lot of little turds like that in this bill. The bill is partisan warfare and given the state of the economy it is the last thing this country needs right now.
michau_william,"Myrtle Beach, SC",@paladincards20 @PokemonTCGDrops *starts adding things to cart* I’ll buy it! It’ll be good for the economy.
ynizami7,"Ontario, Canada",@vannapalooza @BenRabidoux The lockdowns have done more damage than good. The cost benefit analysis shows the cost of protecting healthcare system from overwhelming is much higher in terms of collapsing global &amp; domestic economy with our generations to pay inflation debt!
YorkLPMC,"York, PA","Need proof that state-run education is a failure?

The same people who think the vaccine is working also think that more gun laws will will stop criminals. They also think printing more money will save the economy.

They can't math."
rstonex,"Nashville, TN","@ChaosCreated @AlysonMetzger It’s impacting hospitals, still killing &gt;1000 Americans daily, and felt in almost every sector of the economy."
wopofwv,"Clarksburg, WV","@GOPLeader Wow imagine that,  Americans working and spending money driving the economy forward... Bet you and the rest of the @GOP just hate it... Let's Go Brandon, it's time #BuildBackBetter"
SociallyQ,United States,"@GOPLeader Every business I know is looking to hire. Between 800,000 Covid deaths, baby boomers retiring, birth rate at 0  and international students going to other countries to study. The GQP has made a shambles of our economy"
josephwrio,Connecticut,"@drprops @jasonintrator @nytimes In a laudatory review of Roosevelt’s 1933 book Looking Forward, Mussolini wrote, “Reminiscent of Fascism is the principle that the state no longer leaves the economy to its own devices.… Without question, the mood accompanying this sea change resembles that of Fascism.” The"
BrocktheBlack,USA,"You did this, with your fear and anxiety, and begging the tyrants of government to ""save"" you, to protect you. You destroyed the economy, you caused  the #inflation. All because of your fear."
LiquidityL,"Bedford, TX",Australian dollar is finally snapping run of losses against the yen https://t.co/rZHxKAWCFb #currency #monetary #finance
JTWninja,"Alabama, USA","I won’t speak on other forms of #capitalism, but I do know that the #American #economy has lost its moral mooring.

The wealthy are hoarding the capital and consolidating their power while maintaining firm control over the means of earning.

It’s wrong.

https://t.co/dyYYUpfEYN"
ronmortgageguy,Toronto,"This Seems to Sum Up The Situation Pretty Damn Well

And add to it that the Political Economy does one hell of a fine job enhancing the net worth of the 1% 

A match made in Hell, politicians manipulating the economy to stay in power while enriching elites as a by product https://t.co/c646uH97jX"
theDJScott,"Baltimore, MD",@DefiantLs Do you all understand that he’s literally done nothing but eff the economy up?
theDJScott,"Baltimore, MD",Do you all understand that he’s literally done nothing but eff the economy up? https://t.co/6rC4dwVYn9
BruceRWomack4,"Oregon, USA","@JohnBrown1858 It blows my mind that republicans, the undecided, whatever you want to call them, can for one second, lay the economy at Biden’s feet, as if it were some magical surprise, as if there were no preexisting pandemic and no Trump insanity. Biden inherited a 12” shit sandwich 😡😡"
JuliusESantiago,"Fort Worth, TX","""The mystery of the Trinity (theologia) is ontologically prior to the economy (oikonomia) of the Trinity and ought to condition our interpretation of the economy."" @richbarcellos"
poop_economy,"Poughkeepsie, NY",@TomCampbell I could listen to you talk all day Mr. Campbell. Love your work and the whole channel 🤟
ElleRC84,"Oregon, USA",@ORSenDemocrats I thought the economy was in great shape? Why are you passing eviction legislation? How about you let our kids have their lives back? How is this not an important topic to you? Children only have one childhood and you’ve already stolen two years from them. Do not mess with kids!!
RhoadsNate,"Lewis Center, OH",@hpygoluki @RobCoe24 @Breaking911 2/2  The economic benefit to the entire economy would be far and wide. The instant infusion of capital would change the trajectory of countless families.  Money would immediately infuse into the system. They really aren’t that different.
KristenEskow,"Indianapolis, IN","As inflation rates reach a near 40-year high, many small business owners across Indiana have had to raise prices on at least some of their products due to higher costs. I asked experts how this could impact the state’s economy: https://t.co/s7uQx6QvUp @CBS4Indy @FOX59"
sistenyttnorge,Norge,"Coronavirus: Hong Kong to make BioNTech booster shots available to all from January, Carrie Lam reveals

https://t.co/0wXPID18p4"
MikeyP7912,"Philadelphia, PA","@meghanforreal @PhillyMayor Texas and Florida are thriving with fewer positive cases every day. But the stats don’t lie, the overwhelming majority of the people who test positive are completely fine within 5-10 days. And it’s certainly not worth the risk of impacting an economy as you try to fix something"
ordoabchao,"Toronto, Ontario","@SCMPNews Size of Economy after HyperCapSoc:

$2M x Total Population = SOE
($1M - Discretionary Spending)
($1M - Stake in Corps)

Allocation of CBDCs (USD 2022) to each Nation-State:

% of World's Population x $3Q = SWF

China's SOE = $2.804Q
China's SWF = $534T"
ClwnPrncCharlie,"New York, NY",If you’re fat or ugly you just have to lean into it and own it. Like Richard III. It’s that simple. Never let em get to you. Ofc this doesn’t apply to women Bc there’s a whole other social economy there but for men really just learn to be funny and you’ll do find.
ToTheLeftOfDem,United States,"@mindstalk @TheButtrAnvil @wageslave709 @EverydayBastiat 600 billionaires while constructing 25k miles of high speed rail, providing housing  and healthcare for all. That's an acceptable level of wealth distribution.

The US has no central planned economy - it has Corporate subsidies. No high speed rail, homelessness and no healthcare."
jdaviscpa,"Pembroke Pines, FL","The number of Americans filing initial jobless claims unexpectedly fell to the lowest level in 52 years, faring much better than economists were expecting. Forbes has the details. #economy #employment https://t.co/UZBMXjwg8F"
alexizedM,United States,"Remember when Meles zenawi, with a straight face, without referencing any data claimed economy grew by 13%?Only few months later, it was found to b 6%! 
So 80,000 doesn’t surprise me! They make grandiose claims to make up for their own deficiencies like a guy with a small di…k"
