user,location,tweet
Dmarlanawilson,KANSAS ,"Biden admin admits it left hundreds more US citizens behind in Afghanistan after chaotic withdrawal

https://t.co/LY33TZ6Br2"
RepKristina,"Green Bay, WI","I hope your mentorship of new leaders will provide critical institutional knowledge and constructive feedback so that we can continue the legacy of progressive, movement-based politics across the state for years to come!"
rogersonkaren,USA,"'It has gone too far': Listen to Cheney read out texts Trump Jr., Hannity and Ingraham sent to Meadows on Jan. 6
https://t.co/7YlKkAsVNo"
le_petit_trek,"Vulcan, Alberta",@maxfawcett This might be the dumbest thing I have ever read about Canadian politics. Well done!
Plauterborn,"San Francisco, CA","People are only conservative until it hits them personally. Shocking, I know..
https://t.co/B34LvTFrMy"
1Knight72,"Watertown, NY ","Nakasone said last month that the US government had ""conducted a surge"" against #ransomware operators, including by trying to cut off the hackers' sources of funding. 

#CyberSecurity 

https://t.co/wePgzc049A"
Trump45Group,"West Palm Beach, FL","ICYMI: ""'It's just crazy': 12 major cities hit all-time homicide records"" #trump #donaldtrump #republican #conservative #trump2024 #MAGA #KAG #usa #politics 

Read the full article by @Bill_Hutchinson with @ABCNews here:
https://t.co/hhwgS1Kiqk"
MissysDayOff,"Nebraska, USA","They were on the “March For Trump” bus tour, now they’re throwing others under the bus. #Jan6Insurrection  https://t.co/JvN2GwAznP"
sketnj,NJ,"@RedistrictNet I don’t know, I think it just came with enjoying electoral politics. Since I was really interested in who represented which areas in 2018, I probably decided to research the district boundaries and saw how they changed throughout the years"
BoobPunchTina,"Connecticut, USA","@ElizabethMWard3 @BlackKnight10k Maybe a few people did. I think they pretty much all hate him, fanaticism and politics aside, because he’s an annoying git. But someone still might’ve texted or called him.
I wouldn’t expect to hear about that kind of detail for at least a few years. A lot has yet to happen."
Smitty1648,"Minnesota, USA","@mattio60 Many of us are asking that same question mattio!!!! Our politics have broken this country and until we rid ourselves of the new republicans, we’ll be in bad shape."
VitamnZebra,Philadelphia,@_Kinimaka_ @IvoryCrickett @libsoftiktok You do get it. It's just the identity politics (you only identifying with white people) keeps you from understanding history. Hence why you can't do anything other than run. By all means though. This is boring.
randypcox,"Seattle, WA","Pretty damning, but what will they do about it? https://t.co/hKuAvwtzYe"
SteveL202,"Maryland, USA","January 6 committee votes to hold Meadows in contempt of Congress 
https://t.co/OCcxaeR9gE"
me0wmixalot,swing on the spiral,@LizLizLiz1976 @murfbaseball21 Haha my brother has a PhD but is so humble... he says it's politics but his is in meteorology and astrophysics so um yep sure
MKJ2117,"Tampa, FL",@joncoopertweets An entire thread of psychopaths that let politics get between them and their families
spiderbvg,"Oakland, CA",I hate listening to cishet men talk about politics for more than like 10 minutes
Jsorrentino123,"Florida, USA",Trump Teases Out VP Candidates: 'I Think Ron [DeSantis] Would Be Good' | https://t.co/zvxsF4MQlK https://t.co/d3n3bnyA3X via @Newsmax
missled2u,USA OF AMERICA,@DustyAssKracka Don't talk Politics. Tell company there will be no discussion on politics in your house. If you can't abide by that rule don't show .
Djiggerz,Ohio,"Conservative group targets Tester, Sinema, Kelly https://t.co/7GO6MULPEQ"
ladymlee1,"Hagerstown, MD","@Grog30997207 @amyriscool @Elishebaxoxo @nathaliejacoby1 The ship was supposed to be for regular patients, not covid patients. Hospitals had no room for covids, and not alliwed to take them to ship. The tents were used by covid patients.  https://t.co/n212scX3yp"
ilovemyjobpj,"Virginia, USA","@SpaceCityDavid @Acyn “When you guys put somebody in the car and you're protecting their head, you know, the way you put their hand over, like, don't hit their head and they've just killed somebody. Don't hit their head. I said, you can take the hand away, okay?”  

https://t.co/SC1PCnCzQs"
VictorMGonzo,"California, USA","pay the Gas Price and shut up..!!!
Herschel Walker’s Son Mocks Critics of His Expensive Hoodie While Bashing Biden For Gas Prices: They ‘Don’t Like Me Because I’m Rich’ https://t.co/EYPUGFZVuy #SmartNews"
100ThingsUtah,"Twin Falls, Idaho",@GSP_Whisperer They despise mixing religion and politics with sports — unless it’s their religion and politics.
OneLadyOneVote,USA,WSJ: The Biden Stagflation Is Coming https://t.co/OeDLoLUdJk via @WSJOpinion #USA🇺🇸 #America #1A #2A #Biden #Trump #Trump2024 #freedom #Patriots #Democrats #Republicans #inflation #gasprices #Bidenflation #economy #politics
adammarx13,Atlanta,"Here's what's going on at ground zero for US politics.

Not at all surprised to see, among others, quotes here from @erickallen (running for Lt. Gov), @BeeForGeorgia (running for Sec. of State) and @SamforGeorgia (local rising star). 🤔

https://t.co/U69Tjm80Vj"
BooksChibi,Oregon,"Any guesses? #suntup

""One of the most important 20th century works of speculative fiction, this masterfully written tale explores a broad range of issues relating to power, gender and religious politics."""
djd_nash,Tennessee,I’m really shocked Fox News is trying to bury the #TrumpCoupAttempt .  Shocked I tell ya!  Sarcasm has its limits with this… https://t.co/tIzkEQHwKN
MSN,"Redmond, WA, USA",Opinion: Trump delivers Georgia Democrats a holiday gift https://t.co/AJeRofF6YC
notgenn,"Seattle, WA","nothing but performative bullshit. this is the way elected officials behave in ""progressive"" ""sanctuary cities"" fuck this country and fuck electoral politics https://t.co/iGCfRsQvzZ"
einarvollset,"Santa Cruz, CA","Classic Santa Cruz Politics: Rich old hippies on the upper west side voting for politicians that enact policies that end up *literally* crapping all over working class families. Keep Santa Cruz Weird, eh?"
SteveS62,YYC,Game on you wanted to be in politics/ public office make stupid rules now deal with it’s only going to get better! https://t.co/SZIwkcEwEb
reckless,"Brooklyn, NY",This might be dumber than the time the NYT recommended using your smartphone camera flash https://t.co/t12vUMnp0W
Billius27,Niagara Ontario,"""Ontario will unveil new restrictions to protect nursing home residents from COVID-19 and is working to begin offering boosters for those 18 and over sooner than Jan. 4 as the Omicron variant spreads more rapidly than predicted just days ago."" 
https://t.co/uNDX4LGMOm"
maybeawriter,"Nashville, TN","House Jan. 6 committee votes to hold Meadows in contempt, details texts from Trump allies who wanted him to call off rioters https://t.co/scO5iyl1Vu"
CulpMolda,Oklahoma City,"@dallassooner @AC_NoChill I am sick of politics, and still I KNOW WE NEED A WHOLE LOT OF FIXING, here in Oklahoma! The question remains: ""how can we, as a community, as a state, make this right""?"
illinidiva12,"Evanston, IL","You know what stop with the lockdowns to appease the wine b*tches and then perhaps you'd be more popular.  Literally, YOU ARE DESTROYING PEOPLE'S LIVES!!
https://t.co/impoBaNP8o"
tbtnewspaper,"Tampa Bay, Florida",Val Demings gets backing of Giffords on guns issue https://t.co/p8WS7AKw8B
Politics_Matter,Earth,"Someone should tell @AdamKinzinger that Lincoln and Reagan both stood up, fought against, and defeated Democrats.. particularly, Lincoln who literally fought a war rather than compromise with Democrats.

If they were both alive today, they would ask for your immediate resignation https://t.co/OHRQMlv2XU"
desertphile,"Santa Fe, New Mexico","Good. Not-vaccinated people are a health hazard.

https://t.co/ak55BaHOGs"
FeelsReals,"Florida, USA","@heitmeyernancy @sayitnspinit About 230, it's sad, but in modern politics, the president has great power to push for legislation.

If this was 150 years ago, I'd agree with you. Back then the president was just supposed to be the outward foreign face, and resolve internal disputes."
scoobidoo76,USA,"Quote:
A career in politics should pay so little that no one corrupt or greedy would be interested."
Trump45Group,"West Palm Beach, FL","ICYMI: ""Will New York Times, Washington Post return Pulitzer for misleading Russia collusion stories?"" #trump #donaldtrump #republican #conservative #trump2024 #MAGA #KAG #usa #politics"
Local4News,"Detroit, MI","Manchin hits Dems' $2T bill as too costly, talks to Biden https://t.co/AQyATn5AwW"
KGWNews,"Portland, Oregon",Oregon Legislature passes bill to stop winter evictions for those waiting on rental assistance https://t.co/hNjlrK8Dtz
stufalk,"Los Angeles, California",Danger: Prime Minister Naftali Bennett of Israel is trying to revive the threat of a military strike against Iran. https://t.co/ZsMsNVqOLv
soma77,"Sparks, Nevada",Fourteen members of Congress reportedly violated stock trade reporting law https://t.co/X4ULMWY0S3 Americans want justice so confiscate the money in the trades as a fine for breaking our laws or jail them.
Doc_Clark,"Florida, USA",@RepGusBilirakis Politics 101: Leading party makes campaign promises. Opposition votes against the promises. Leading party caves to get things done. Opposition claims leading party isn’t doing sh!t. Doesn’t tell voters that they opposed all options and campaign touts failed policies.
KGreen714,"Henderson, NV","@normalice0 @AndrewPollackFL NY Times...  opinion piece, but none of which are disproving the existence of the laptop.

https://t.co/PySOiQgAAk"
Jump82c,"Henderson, KY",Jan. 6 Committee Recommends Contempt Charge for Meadows https://t.co/VV5oJzAgoi
leahbug56,"Midwest, USA","Doctors fail at medicine then turn to politics to earn cash. Carson, Paul, Oz - egads!
https://t.co/mBkzv3j45x"
NewDealChief,"Norfolk, VA, USA","@JMFTanguma1995 This is amazing! Thank you very much, although I would disagree with the Nancy Davis part. Reagan divorced his first wife due to him focusing more on politics and at the time, he was a devout Democrat, while his first wife was a Republican, so the divorce still happens here."
EGettier,Golden State,@DeLeonoid1 Please go outside and talk to people your own age about anything other than politics. The world is not the comic book universe you seem to think it is
