user,location,tweet
NASALaserComm,"Greenbelt, MD","We're also at #AGU2021, representing @NASASCaN and sharing the benefits of laser communications @NASA_Technology with @NASAEarth scientists and the public! https://t.co/0nFOB20tgw"
turntidetech,"Sunnyvale, CA","When your technology can transform both business and the fight against climate change, you tend to get noticed. But this recognition by @automationworld feels good!

#innovation l #sustainability l #turnthetide

https://t.co/CP6FeR44Vp"
TRUEUP90,"Royal Oak, MI",@elonmusk Will you send me a Tesla in exchange for my theory on a way to travel interstellar? I believe it is possible with available technology
Parents_Nook,"San Francisco, CA",And the best part is working on a deep problem itself is very satisfying ignoring everything else just the community whom we work with and solving the problem with the help of technology is satisfying enough. I got my life’s work I guess.
BlakeBeilue,"Denver, CO","@daheels1 @therealdre_jack @HelmanDC Unless they substituted him for some type of android, i think the real Dak has been playing since week 1. Technology is very advanced though these days, so who really knows."
Umesh_Sachdev,"Palo Alto, CA",It’s great to see @WhiteHouse prioritizing customer service for the American people with this Executive Order for government agencies to leverage technology that will deliver more user-friendly and secure customer experiences for Americans. #CX https://t.co/qBPOu1zczd
jnorris849,"Arlington Heights, IL",Why did I think of @cfiesler talking about bias in technology as soon as I watched the preview for #AmericanAuto?
newsfilterio,"New York, NY",SIBANNAC PURSUES PATENTED TECHNOLOGY AND IDENTIFIES PRODUCTS FOR NEW CONSUMER BRAND $DRNK $SNNC https://t.co/YVie69z3UO
sha__luv,NYC,New @Meta page since 10 years worth of memories cannot be unlocked with 2021 technology ..
glantern43,"Ann Arbor, MI",They are really exquisite in real life.  It is amazing that he did this with eye gaze technology.
Rei96234818John,"Framingham, MA",@GitchiGamiFan @creedmore_acres @theblaze Roe happened in ‘73 I think they didn’t have the medical technology that we have now sonograms high tech imaging if they had Roe never would have happened. Laws regarding medical issues have to be updated.
WomenWhistle,USA,"An artist's Instagram account 'metaverse', where she had documented her life and work for the past decade, was shut down by Facebook when it changed its company name to Meta, thus wiping her work off the internet.   
#Metaverse #art via @nytimes 
https://t.co/SOO2JX08lV"
astoldbyMel,"Miami, FL","Technology came a long way truly, my phone was in the water for a little over 30 mins before the captain finally found it. It was still working🥲"
